date,day_type,bus,rail_boardings,total_rides,transit_id,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,tzoffset,weather_id
2024-10-01,W,675858,457355,1133213,1376,1727758800,20.9,13.6,18.5,20.9,13.6,18.5,8.1,54.9,0.0,0.0,0.0,,0.0,0.0,47.5,29.2,328.1,1017.0,52.3,16.0,34.9,2.9,5.0,10.0,06:48:04,1727783284,18:31:18,1727825478,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,1
2024-10-02,W,663546,452173,1115719,4672,1727845200,21.8,9.7,16.0,21.8,9.7,16.0,2.6,43.1,0.0,0.0,0.0,,0.0,0.0,31.7,18.1,236.4,1017.1,40.9,16.0,49.5,4.2,5.0,10.0,06:49:08,1727869748,18:29:36,1727911776,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,2
2024-10-03,W,670461,454449,1124910,1072,1727931600,25.4,12.1,17.9,25.4,12.1,17.9,7.5,52.4,0.0,0.0,0.0,,0.0,0.0,29.9,17.7,259.6,1016.9,13.8,16.0,45.5,3.8,4.0,10.0,06:50:13,1727956213,18:27:53,1727998073,0.03,Clear,Clear conditions throughout the day.,clear-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,3
2024-10-04,W,619444,409598,1029042,6492,1728018000,21.8,16.4,18.4,21.8,16.4,18.4,11.2,63.3,0.972,100.0,12.5,['rain'],0.0,0.0,42.5,27.1,44.2,1023.2,50.2,16.0,32.4,2.6,4.0,10.0,06:51:18,1728042678,18:26:12,1728084372,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,4
2024-10-05,A,431370,318359,749729,7952,1728104400,29.7,15.3,21.8,28.8,15.3,21.7,11.7,55.0,0.0,0.0,0.0,,0.0,0.0,54.1,30.7,165.5,1018.5,41.5,16.0,47.3,4.0,4.0,10.0,06:52:23,1728129143,18:24:31,1728170671,0.1,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,5
2024-10-06,U,336190,248486,584676,8686,1728190800,24.6,14.8,20.7,24.6,14.8,20.7,7.0,42.7,0.0,0.0,0.0,,0.0,0.0,55.4,32.9,277.9,1013.5,10.8,16.0,55.1,4.7,6.0,10.0,06:53:29,1728215609,18:22:50,1728256970,0.13,Clear,Clear conditions throughout the day.,clear-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,6
2024-10-07,W,623133,406230,1029363,4727,1728277200,19.7,9.9,14.5,19.7,8.1,14.4,0.6,41.7,0.0,0.0,0.0,,0.0,0.0,29.5,18.7,315.4,1019.4,16.3,16.0,55.0,4.7,6.0,10.0,06:54:35,1728302075,18:21:10,1728343270,0.17,Clear,Clear conditions throughout the day.,clear-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,7
2024-10-08,W,652969,459661,1112630,1282,1728363600,23.2,9.5,16.0,23.2,8.9,16.0,4.1,47.5,0.0,0.0,0.0,,0.0,0.0,41.7,18.9,291.2,1017.0,7.8,16.0,55.3,4.7,6.0,10.0,06:55:41,1728388541,18:19:30,1728429570,0.2,Clear,Clear conditions throughout the day.,clear-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,8
2024-10-09,W,661361,467517,1128878,5019,1728450000,20.3,11.6,15.8,20.3,11.6,15.8,7.9,60.9,0.0,0.0,0.0,,0.0,0.0,31.7,21.6,81.8,1018.5,15.1,16.0,50.5,4.3,5.0,10.0,06:56:47,1728475007,18:17:51,1728515871,0.24,Clear,Clear conditions throughout the day.,clear-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,9
2024-10-10,W,650278,485221,1135499,3243,1728536400,21.9,12.4,16.8,21.9,12.4,16.8,6.6,53.8,0.0,0.0,0.0,,0.0,0.0,24.8,14.5,95.1,1021.7,0.8,16.0,51.5,4.5,6.0,10.0,06:57:54,1728561474,18:16:13,1728602173,0.25,Clear,Clear conditions throughout the day.,clear-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,10
2024-10-11,W,624145,456909,1081054,7059,1728622800,28.4,12.1,20.0,27.2,12.1,19.8,7.2,46.2,0.0,0.0,0.0,,0.0,0.0,40.1,24.9,230.0,1018.6,43.1,16.0,48.1,4.2,4.0,10.0,06:59:01,1728647941,18:14:35,1728688475,0.3,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,11
2024-10-12,A,427732,369877,797609,410,1728709200,21.4,16.0,18.0,21.4,16.0,18.0,11.2,64.9,0.0,0.0,0.0,,0.0,0.0,51.3,32.7,53.9,1015.0,81.3,16.0,44.8,3.8,4.0,10.0,07:00:09,1728734409,18:12:58,1728774778,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,12
2024-10-13,U,280965,466771,747736,4280,1728795600,19.0,10.9,15.4,19.0,10.9,15.4,7.8,62.3,0.0,0.0,0.0,,0.0,0.0,62.9,37.9,307.7,1010.0,87.7,16.0,42.4,3.8,4.0,10.0,07:01:16,1728820876,18:11:22,1728861082,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,13
2024-10-14,W,486971,384342,871313,8537,1728882000,14.1,7.4,10.5,14.1,4.5,8.9,3.0,61.6,1.004,100.0,12.5,['rain'],0.0,0.0,60.3,33.9,330.3,1018.1,80.0,15.7,24.8,2.1,1.0,10.0,07:02:24,1728907344,18:09:46,1728947386,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"['72534014819', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,14
2024-10-15,W,582685,444249,1026934,1802,1728968400,8.8,5.8,7.2,5.7,1.6,3.7,2.8,74.1,8.977,100.0,58.33,['rain'],0.0,0.0,56.6,33.0,344.4,1023.5,72.5,15.4,15.2,1.2,1.0,10.0,07:03:33,1728993813,18:08:11,1729033691,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['72534014819', '72212604879', 'KORD', 'KMDW', '72530094846', 'F1983', '74466504838', 'KPWK']",obs,,15
